it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
603,51,17,9, 25, 13,38
604,51,17,9, 25, 13,38
605,51,17,9, 25, 13,38
606,51,17,9, 25, 13,38
607,51,17,9, 25, 13,38
608,51,17,9, 25, 13,38
609,51,17,9, 25, 13,38
610,51,17,9, 25, 13,38
611,51,17,9, 25, 13,38
612,51,17,9, 25, 13,38
613,51,17,9, 25, 13,38
614,51,17,9, 25, 13,38
615,51,17,9, 25, 13,38
616,51,17,9, 25, 13,38
617,51,17,9, 25, 13,38
618,51,17,9, 25, 13,38
619,51,17,9, 25, 13,38
620,51,17,9, 25, 13,38
621,51,17,9, 25, 13,38
622,51,17,9, 25, 13,38
623,51,17,9, 25, 13,38
624,51,17,9, 25, 13,38
625,51,17,9, 25, 13,38
626,51,17,9, 25, 13,38
627,51,17,9, 25, 13,38
628,51,17,9, 25, 13,38
629,51,17,9, 25, 13,38
630,51,17,9, 25, 13,38
631,51,17,9, 25, 13,38
632,51,17,9, 25, 13,38
